,,,"Todo: annotate Rating column 1-5 (1 is very negative, 2 negative, 3 neutral, 4 positive, 5 very positive). The exact question the LLM is given is: ""You are given a question and a response. Rate the sentiment/supportiveness of the response on a scale of 1 to 5, where 1 is very negative and 5 is very positive.""",
Question number,Response number,Question,Response,Rating
4,6,Questions about research or informed consent,No,2
4,0,Questions about research or informed consent,No,2
4,18,Questions about research or informed consent,No,2
4,1,Questions about research or informed consent,No,2
4,25,Questions about research or informed consent,No,2
4,20,Questions about research or informed consent,No,2
4,19,Questions about research or informed consent,No,2
4,17,Questions about research or informed consent,No,2
4,15,Questions about research or informed consent,No,2
4,4,Questions about research or informed consent,No,2
4,26,Questions about research or informed consent,No,2
4,12,Questions about research or informed consent,No,2
4,30,Questions about research or informed consent,No,2
4,28,Questions about research or informed consent,No,2
4,11,Questions about research or informed consent,No,2
16,29,What do you think researchers could do to promote respect for a patient’s decision making without getting informed consent?,Be knowledgable in their field,3
16,15,What do you think researchers could do to promote respect for a patient’s decision making without getting informed consent?,Respect each patient is different,3
16,3,What do you think researchers could do to promote respect for a patient’s decision making without getting informed consent?,Treat each child as if it were your own,3
16,24,What do you think researchers could do to promote respect for a patient’s decision making without getting informed consent?,Nothing,2
16,2,What do you think researchers could do to promote respect for a patient’s decision making without getting informed consent?,Nothing,2
16,18,What do you think researchers could do to promote respect for a patient’s decision making without getting informed consent?,Be knowledgable in their field,3
16,17,What do you think researchers could do to promote respect for a patient’s decision making without getting informed consent?,Just do what you need to do,2
16,4,What do you think researchers could do to promote respect for a patient’s decision making without getting informed consent?,Respect each patient is different,3
16,14,What do you think researchers could do to promote respect for a patient’s decision making without getting informed consent?,Treat each child as if it were your own,3
16,6,What do you think researchers could do to promote respect for a patient’s decision making without getting informed consent?,Just do what you need to do,2
16,28,What do you think researchers could do to promote respect for a patient’s decision making without getting informed consent?,Just do what you need to do,2
16,7,What do you think researchers could do to promote respect for a patient’s decision making without getting informed consent?,Be knowledgable in their field,3
16,26,What do you think researchers could do to promote respect for a patient’s decision making without getting informed consent?,Respect each patient is different,3
16,13,What do you think researchers could do to promote respect for a patient’s decision making without getting informed consent?,Nothing,2
16,25,What do you think researchers could do to promote respect for a patient’s decision making without getting informed consent?,Treat each child as if it were your own,3
30,26,What is your understanding about why the ambulance agencies will be randomly assigned to when they will switch methods of dose determination?,Prevent bias,3
30,1,What is your understanding about why the ambulance agencies will be randomly assigned to when they will switch methods of dose determination?,To compare the two methods,3
30,19,What is your understanding about why the ambulance agencies will be randomly assigned to when they will switch methods of dose determination?,See if new method is working,3
30,12,What is your understanding about why the ambulance agencies will be randomly assigned to when they will switch methods of dose determination?,To compare the two methods,3
30,0,What is your understanding about why the ambulance agencies will be randomly assigned to when they will switch methods of dose determination?,Blind study- randomization,3
30,16,What is your understanding about why the ambulance agencies will be randomly assigned to when they will switch methods of dose determination?,Limit bias,3
30,18,What is your understanding about why the ambulance agencies will be randomly assigned to when they will switch methods of dose determination?,Picking random communities,3
30,23,What is your understanding about why the ambulance agencies will be randomly assigned to when they will switch methods of dose determination?,To compare the two methods,3
30,31,What is your understanding about why the ambulance agencies will be randomly assigned to when they will switch methods of dose determination?,Try different interventions to see which works,3
30,30,What is your understanding about why the ambulance agencies will be randomly assigned to when they will switch methods of dose determination?,See if new method is working,3
30,15,What is your understanding about why the ambulance agencies will be randomly assigned to when they will switch methods of dose determination?,Prevent bias,3
30,14,What is your understanding about why the ambulance agencies will be randomly assigned to when they will switch methods of dose determination?,Different groups,3
30,6,What is your understanding about why the ambulance agencies will be randomly assigned to when they will switch methods of dose determination?,Manipulate data,2
30,27,What is your understanding about why the ambulance agencies will be randomly assigned to when they will switch methods of dose determination?,Limit bias,3
30,4,What is your understanding about why the ambulance agencies will be randomly assigned to when they will switch methods of dose determination?,Prevent bias,3
11,5,"Who would you want to make that decision, if you were unable and a family member or close friend (or other proxy mentioned) were not available in time?",Medical professional,3
11,26,"Who would you want to make that decision, if you were unable and a family member or close friend (or other proxy mentioned) were not available in time?",Medical professionals,3
11,11,"Who would you want to make that decision, if you were unable and a family member or close friend (or other proxy mentioned) were not available in time?",Doctors,3
11,7,"Who would you want to make that decision, if you were unable and a family member or close friend (or other proxy mentioned) were not available in time?",Doctor,3
