,,"Put the best theme number in the annotation column (if multiple themes apply, pick the more specific one). Multiple responses from the same question are grouped together to make it easier",,,,,,
site,question,response,annotation,Theme 1,Theme 2,Theme 3,Theme 4,Theme 5
Atlanta,Tell me a little about your experience with seizures,Twin sons with epilepsy,1,Experience with seizures in sons,Experience with seizures in daughters,Personal experience with seizures,,
Atlanta,Tell me a little about your experience with seizures,Son once,1,Experience with seizures in sons,Experience with seizures in daughters,Personal experience with seizures,,
Atlanta,Tell me a little about your experience with seizures,Son,1,Experience with seizures in sons,Experience with seizures in daughters,Personal experience with seizures,,
Atlanta,Tell me a little about your experience with seizures,Son has had 2,1,Experience with seizures in sons,Experience with seizures in daughters,Personal experience with seizures,,
Atlanta,Tell me a little about your experience with seizures,Daughter genetic syndrome,2,Experience with seizures in sons,Experience with seizures in daughters,Personal experience with seizures,,
Atlanta,Tell me a little about your experience with seizures,Self and son with fevers,3,Experience with seizures in sons,Experience with seizures in daughters,Personal experience with seizures,,
Atlanta,Tell me a little about your experience with seizures,Self and child,3,Experience with seizures in sons,Experience with seizures in daughters,Personal experience with seizures,,
Atlanta,Tell me a little about your experience with seizures,"Daughter, febrile seizures",2,Experience with seizures in sons,Experience with seizures in daughters,Personal experience with seizures,,
Atlanta,Tell me a little about your experience with seizures,Daughter,2,Experience with seizures in sons,Experience with seizures in daughters,Personal experience with seizures,,
Atlanta,Tell me a little about your experience with seizures,Daughter,2,Experience with seizures in sons,Experience with seizures in daughters,Personal experience with seizures,,
Columbus,Tell me about a time when you have had to call 9-1-1…?,"A family member, difficulty breathing. Older lady, didn't want me to call 911. Called the local squad came in.I did initial assessment or summary. I think it's muscle memory. I turned into paramedic, did the initial assessment on, and when the family or when the squad showed up. One of the members knew me, so they asked me what was going on",1,Calling 911 for family members with health issues,Calling 911 for seizures specifically,Positive experiences with emergency services,Providing medical assistance before or during the emergency services' arrival,
Columbus,Tell me about a time when you have had to call 9-1-1…?,"My grandma she had sudden onset atrial fibrillation. It was undiagnosed at that time, so she said, you know she's feeling. Dizzy and I took her pulse, noticed A-fib so we got an ambulance for at that time",1,Calling 911 for family members with health issues,Calling 911 for seizures specifically,Positive experiences with emergency services,Providing medical assistance before or during the emergency services' arrival,
